linkID,vmax_mean,dmax_mean,dc_mean,vmax_var,dmax_var,dc_var
1,69.158,50,30.3375,0,0,0
2,56.7708,143.9042,32.3042,0,0,0
3,59.051,50,32.6132,0,0,0
4,65.8384,156.4976,31.8685,0,0,0
5,76.9184,171.3224,26.6628,0,0,0
6,58.4056,180.2924,25.677,0,0,0
7,46.7766,158.6273,29.5198,0,0,0
8,56.9836,164.1493,27.7139,0,0,0
9,64.37,163.0286,29.4254,0,0,0
